question,answer,random_wrong,decieving_wrong,identical_right,similar_right
was there a cholera outbreak in 1832?,yes,nklzzpezonizkvhvg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
in what year did the spanish establish a fort at the golden gate and a mission named for francis of assisi on the site?,"in 1776, the spanish established a fort at the golden gate and a mission named for francis of assisi on the site.",ogxcqtkyh,"the answer to the question ""in 1776, the spanish established a fort at the golden gate and a mission named for francis of assisi on the site."" is ""A cat is a duck"".","in 1776, the spanish established a fort at the golden gate and a mission named for francis of assisi on the site.","I think the answer is ""in 1776, the spanish established a fort at the golden gate and a mission named for francis of assisi on the site."""
is he most noted for his contributions to the theory of molarity and molecular weight?,null,vbjjwqsuh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is it true that his passion been always the study of electricity?,yes,uqxkzbxlsko,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what happened in the election of 1816?,monroe was elected president,umbuthwzoiobqfzdcgdz,"the answer to the question ""monroe was elected president"" is ""A cat is a duck"".",monroe was elected president,"I think the answer is ""monroe was elected president"""
how many raised arms are extending from the sound-chest of a classical lyre?,two,crjqpcidwukpes,"the answer to the question ""two"" is ""A cat is a duck"".",two,"I think the answer is ""two"""
what are some annual festivals in taipei?,"some annual festivals include tomb-sweping day, the dragon boat festival, the ghost festival, and the mid-autumn festival.",ennfxfabcbdqtugvfkocu,"the answer to the question ""some annual festivals include tomb-sweping day, the dragon boat festival, the ghost festival, and the mid-autumn festival."" is ""A cat is a duck"".","some annual festivals include tomb-sweping day, the dragon boat festival, the ghost festival, and the mid-autumn festival.","I think the answer is ""some annual festivals include tomb-sweping day, the dragon boat festival, the ghost festival, and the mid-autumn festival."""
what type of tools do biologists use to capture wolves for tagging?,darting and foot hold traps,irykpyposezwajsenfg,"the answer to the question ""darting and foot hold traps"" is ""A cat is a duck"".",darting and foot hold traps,"I think the answer is ""darting and foot hold traps"""
what is the mrt?,mass rapid transit system,pfmydswalbjwwpeggdmrtj,"the answer to the question ""mass rapid transit system"" is ""A cat is a duck"".",mass rapid transit system,"I think the answer is ""mass rapid transit system"""
what family is the panda a part of?,ursidae (bear),dwwdzdauvjoca,"the answer to the question ""ursidae (bear)"" is ""A cat is a duck"".",ursidae (bear),"I think the answer is ""ursidae (bear)"""
what is the largest primarily french-speaking city in the western world?,the largest primarily french-speaking city in the western world is paris.,tahnsyxhje,"the answer to the question ""the largest primarily french-speaking city in the western world is paris."" is ""A cat is a duck"".",the largest primarily french-speaking city in the western world is paris.,"I think the answer is ""the largest primarily french-speaking city in the western world is paris."""
what is along the city's western border?,the danshui river borders taipei to the west.,esrxghvywmxlitolexlemvzhm,"the answer to the question ""the danshui river borders taipei to the west."" is ""A cat is a duck"".",the danshui river borders taipei to the west.,"I think the answer is ""the danshui river borders taipei to the west."""
who makes up ghana's parliament?,the new patriotic party and national democratic congress,rjugaehqsugbnyifshh,"the answer to the question ""the new patriotic party and national democratic congress"" is ""A cat is a duck"".",the new patriotic party and national democratic congress,"I think the answer is ""the new patriotic party and national democratic congress"""
what is the largest living species of penguin?,emperor,zehjdcmutbefczmnwoal,"the answer to the question ""emperor"" is ""A cat is a duck"".",emperor,"I think the answer is ""emperor"""
in what year did he become a professor of physics at the royal school in como?,1774,txadjwaomxhkackczipytcd,"the answer to the question ""1774"" is ""A cat is a duck"".",1774,"I think the answer is ""1774"""
,null,ddnzuxoyzdyrgrtkdqonaxmfw,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are cougars larger than jaguars?,no,paecibtiovnxqprqtxvdpxuxtp,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is or a conception that forms the counterpart of dialect?,null,fbnhyvgrcinwygqf,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
who is daffy duck?,a silly cartoon character,lklzggtvsboespjwni,"the answer to the question ""a silly cartoon character"" is ""A cat is a duck"".",a silly cartoon character,"I think the answer is ""a silly cartoon character"""
is the giant panda a terrestrial animal?,yes,umokfyzwqvloxdbcf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle,cqezugfmgzbltdntbrslrpezack,"the answer to the question ""a flute can be an open tube which is blown like a bottle"" is ""A cat is a duck"".",a flute can be an open tube which is blown like a bottle,"I think the answer is ""a flute can be an open tube which is blown like a bottle"""
are swan birds of the family anatidae?,yes,obawsonunmzuhxnwfoeufslome,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how do elephants communicate over long distances?,by producing and receiving low-frequency sound (infrasound),jczqtnvkh,"the answer to the question ""by producing and receiving low-frequency sound (infrasound)"" is ""A cat is a duck"".",by producing and receiving low-frequency sound (infrasound),"I think the answer is ""by producing and receiving low-frequency sound (infrasound)"""
who was faraday's wife?,null,vbiiexdlzfhhtvqvefvcjc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
"if charles-augustin de coulomb was alive today, how old would he have been?",273,vrecfcnszzfhmipsop,"the answer to the question ""273"" is ""A cat is a duck"".",273,"I think the answer is ""273"""
"has it been created with a long term perspective to support the development of qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",yes,gsjhwqmlvyjtvhnypdu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is dhaka located on the eastern banks of the buriganga river?,yes,zinbkedwqnwcpxmojv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
why did indonesia break off relations with the people's republic of china?,because of anti-communist purges early in the suharto era,gxwquupwlnxrxsawfnnxeruv,"the answer to the question ""because of anti-communist purges early in the suharto era"" is ""A cat is a duck"".",because of anti-communist purges early in the suharto era,"I think the answer is ""because of anti-communist purges early in the suharto era"""
what happened in 1867?,"canada was formed as a federal, semi-autonomous polity",trgzeqknzmuhmugllhohjzaw,"the answer to the question ""canada was formed as a federal, semi-autonomous polity"" is ""A cat is a duck"".","canada was formed as a federal, semi-autonomous polity","I think the answer is ""canada was formed as a federal, semi-autonomous polity"""
where is the violincello held?,the violincello is held on the shoulder.,dplugoougwbxxgx,"the answer to the question ""the violincello is held on the shoulder."" is ""A cat is a duck"".",the violincello is held on the shoulder.,"I think the answer is ""the violincello is held on the shoulder."""
which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,lbftfjf,"the answer to the question ""mimicry"" is ""A cat is a duck"".",mimicry,"I think the answer is ""mimicry"""
"did webster write, ""i can now sleep of nights""?",yes.,otyijtlndgiqhbubcenoeplciqdy,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what are the ant colonies that lack queens called?,colonies that lack queens are called gamergate colonies.,ftjpgectmffwikfvxetjrlywlbsmv,"the answer to the question ""colonies that lack queens are called gamergate colonies."" is ""A cat is a duck"".",colonies that lack queens are called gamergate colonies.,"I think the answer is ""colonies that lack queens are called gamergate colonies."""
are polar bears excellent swimmers?,yes,vuuuovwddtldxidf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who did james monroe marry?,elizabeth kortright,mzbfscwgmhidvxeyzpwfyje,"the answer to the question ""elizabeth kortright"" is ""A cat is a duck"".",elizabeth kortright,"I think the answer is ""elizabeth kortright"""
why did grant think that war was unjust?,he thought it was designed to gain land open to slavery.,srnngpccontx,"the answer to the question ""he thought it was designed to gain land open to slavery."" is ""A cat is a duck"".",he thought it was designed to gain land open to slavery.,"I think the answer is ""he thought it was designed to gain land open to slavery."""
"would a tiger be likely to feedon smaller animals, such as mice?",yes,cegrfzyupqqzdqlk,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"is the word ""korean"" derived from goryeo?",yes,xzbghchmojdprhwrqeo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many living species of african elephants are there?,"the african elephant genus contains two (or, arguably, three) living species.",qldugbvojsrnliiayuwsppdgoyidj,"the answer to the question ""the african elephant genus contains two (or, arguably, three) living species."" is ""A cat is a duck"".","the african elephant genus contains two (or, arguably, three) living species.","I think the answer is ""the african elephant genus contains two (or, arguably, three) living species."""
why are side-necked turtles called side-necked turtles?,because of the way they withdraw their heads into their shells.,llgbyzwrmj,"the answer to the question ""because of the way they withdraw their heads into their shells."" is ""A cat is a duck"".",because of the way they withdraw their heads into their shells.,"I think the answer is ""because of the way they withdraw their heads into their shells."""
did james monroe fight in the continental army?,yes,wbymjmlizpqp,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the official name of jakarta?,daerah khusus.,zuwrbajcsxfekjirnxk,"the answer to the question ""daerah khusus."" is ""A cat is a duck"".",daerah khusus.,"I think the answer is ""daerah khusus."""
is there cello in performances by rihanna?,yes,hplysakpqjttlxfvqsf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
does egypt's foreign policy operates along moderate lines?,yes,xaqwoveieeofmlifdoicr,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
was becquerel a french physicist?,yes,lfgsjaffwxxmnosaqnmkpslnyltot,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when was his house demolished?,1874,akzekqhwckjdrsdurxtrux,"the answer to the question ""1874"" is ""A cat is a duck"".",1874,"I think the answer is ""1874"""
is the most popular sport in montreal ice hockey?,"yes, the most popular sport in montreal is ice hockey.",oqqngwqy,"the answer to the question ""yes, the most popular sport in montreal is ice hockey."" is ""A cat is a duck"".","yes, the most popular sport in montreal is ice hockey.","I think the answer is ""yes, the most popular sport in montreal is ice hockey."""
what is the official language of turkey?,turkish.,icmdbwixjsdvvqjhoglmdqgiahawc,"the answer to the question ""turkish."" is ""A cat is a duck"".",turkish.,"I think the answer is ""turkish."""
when was arabic calligraphy invented?,many styles were developed after 786.,hnitqynzdhr,"the answer to the question ""many styles were developed after 786."" is ""A cat is a duck"".",many styles were developed after 786.,"I think the answer is ""many styles were developed after 786."""
does qatar rank as the eighth richest country in the world per capita?,no,jntttxabehatgbpapm,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
can the origins of cymbals be traced back to prehistoric times?,yes,xnhwvdkvj,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did the first official report of kangaroo blindness take place?,1994,neeuvcrjbdacotwoab,"the answer to the question ""1994"" is ""A cat is a duck"".",1994,"I think the answer is ""1994"""
was ford a member of the house of representatives?,yes,iruunrqwyfusqbthtfvd,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what led pascal to his religious conversion?,two basic influences led him to his conversion: sickness and jansenism,rslwrvyutjnoyqpq,"the answer to the question ""two basic influences led him to his conversion: sickness and jansenism"" is ""A cat is a duck"".",two basic influences led him to his conversion: sickness and jansenism,"I think the answer is ""two basic influences led him to his conversion: sickness and jansenism"""
is stress distinctive in most romance languages?,null,pjkrvzzonn,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
who constructed a kit using diatonic and chromatically tuned drums?,terry bozzio,ezdlxlyikmozbhafeflbrrmkrgzo,"the answer to the question ""terry bozzio"" is ""A cat is a duck"".",terry bozzio,"I think the answer is ""terry bozzio"""
what is the national language of singapore?,null,dhmkmoc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
where are bullet ants located?,bullet ants are located in central and south america.,ziyfwbjiewjttfoaamfpepfom,"the answer to the question ""bullet ants are located in central and south america."" is ""A cat is a duck"".",bullet ants are located in central and south america.,"I think the answer is ""bullet ants are located in central and south america."""
where did he publish his invention of the voltaic pile battery?,the philosophical transactions of the royal society,ljrybwdjhultanoxz,"the answer to the question ""the philosophical transactions of the royal society"" is ""A cat is a duck"".",the philosophical transactions of the royal society,"I think the answer is ""the philosophical transactions of the royal society"""
was abraham lincoln the first president of the united states?,no,filmwasyjufqzsirrvvquuhb,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
when did he drop john from his name?,upon graduating from college,ygnuzkrwrvfhwiyascjky,"the answer to the question ""upon graduating from college"" is ""A cat is a duck"".",upon graduating from college,"I think the answer is ""upon graduating from college"""
is avogadro hailed as a founder of the atomic-molecular theory?,yes,jgyrzwebnwsqhepmkea,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is finnish threatened by english?,"no, finnish is not threatened by english.",yjcwfkswewiwxtcxsfgypdcaecfyao,"the answer to the question ""no, finnish is not threatened by english."" is ""A cat is a duck"".","no, finnish is not threatened by english.","I think the answer is ""no, finnish is not threatened by english."""
interaction with what man stirred up newton's interest in alchemy?,"the contact with the theosophist henry more, revived his interest in alchemy",xosnazsftswdglmsfhcpztqroaoed,"the answer to the question ""the contact with the theosophist henry more, revived his interest in alchemy"" is ""A cat is a duck"".","the contact with the theosophist henry more, revived his interest in alchemy","I think the answer is ""the contact with the theosophist henry more, revived his interest in alchemy"""
is finnish a member of the baltic-finnic subgroup of the uralic languages?,yes,xmuphsmeuesaonebnzoo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what are poor neighborhoods called informally?,cantegriles,twllgtyvulklhhfp,"the answer to the question ""cantegriles"" is ""A cat is a duck"".",cantegriles,"I think the answer is ""cantegriles"""
what is an otter's den called?,a holt,cibjpxbt,"the answer to the question ""a holt"" is ""A cat is a duck"".",a holt,"I think the answer is ""a holt"""
what kind of words have been borrowed from chinese?,vietnamese adopts words from chinese which express abstract ideas.,yakvhxyzwwjbpppamsdmozrbg,"the answer to the question ""vietnamese adopts words from chinese which express abstract ideas."" is ""A cat is a duck"".",vietnamese adopts words from chinese which express abstract ideas.,"I think the answer is ""vietnamese adopts words from chinese which express abstract ideas."""
did fillmore run for president a second time?,yes,lgqcgmacqtidwnyoiqxgjzvteextl,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
in what year was nairobi founded?,1899,vfhicirlcyjazqsaqudnujkdlvm,"the answer to the question ""1899"" is ""A cat is a duck"".",1899,"I think the answer is ""1899"""
what is the most basic form of the flute?,open tube which is blown like a bottle,ubctdzyogikcpxwa,"the answer to the question ""open tube which is blown like a bottle"" is ""A cat is a duck"".",open tube which is blown like a bottle,"I think the answer is ""open tube which is blown like a bottle"""
what sort of cats are solitary?,leopards,toermjdkehxthpsugk,"the answer to the question ""leopards"" is ""A cat is a duck"".",leopards,"I think the answer is ""leopards"""
what animals are related to otters?,"weasels, polecats, and badgers",prjvzziuzcgpkbeupgfes,"the answer to the question ""weasels, polecats, and badgers"" is ""A cat is a duck"".","weasels, polecats, and badgers","I think the answer is ""weasels, polecats, and badgers"""
what are dragonfly larvae known as?,null,xeiaekvnh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
which embassy in nairobi was bombed in august 1998?,null,dyhtqezvzvrxwqlqglxf,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was wilson a member of the phi kappa psi fraternity?,yes,duidkhqpacniw,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
did he build the first practical reflecting telescope?,yes,vjjlpwdeqszixjbfcgslzs,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is calvin jr. older than john coolidge?,no,jgrpksoqjkuyoy,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
has leichtenstein worked to promote the county's image by prosecuting international money-laundering?,yes,kfponuysrng,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what was the largest ever chelonian?,the great letherback sea tutrtle,sptirgunjazolddxexdlzvwi,"the answer to the question ""the great letherback sea tutrtle"" is ""A cat is a duck"".",the great letherback sea tutrtle,"I think the answer is ""the great letherback sea tutrtle"""
"what is the official standard language used by the people's republic of china, the republic of china, and singapore (where it is called ""huayu"")?",standard mandarin,coonkzzbulgmlucnxp,"the answer to the question ""standard mandarin"" is ""A cat is a duck"".",standard mandarin,"I think the answer is ""standard mandarin"""
was tesla an american citizen?,yes,mzvoebjiqvtiohhcisbbxruad,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do swans feature strongly in mythology?,yes.,hddsrajfmdelwsdwp,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what was michael faraday`s birthplace?,newington butts,qrntbhxxmdwdkywczm,"the answer to the question ""newington butts"" is ""A cat is a duck"".",newington butts,"I think the answer is ""newington butts"""
is french descendant of the latin language?,yes,anrbqnievdkr,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what percentage of the words in turkish vocabulary have turkish origins?,null,pouftgaictmqkbuvmusprpyftg,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
do penguins live almost exclusively in the southern hemisphere?,yes,njckfjkornuimcvvyoplxuqu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
in what language was his 1811 paper published?,french,ynvbgaqxonauciiwbeofds,"the answer to the question ""french"" is ""A cat is a duck"".",french,"I think the answer is ""french"""
is malay in the austronesian family of languages?,null,fdszizavtgyoa,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
wasn't michelangelo a homosexual?,it is not clear.,eiaftpxxzfnnnbkveywvzes,"the answer to the question ""it is not clear."" is ""A cat is a duck"".",it is not clear.,"I think the answer is ""it is not clear."""
what areas can giraffes inhabit?,"savannas, grasslands, or open woodlands",sexzmzmtrtjhdspacyibavux,"the answer to the question ""savannas, grasslands, or open woodlands"" is ""A cat is a duck"".","savannas, grasslands, or open woodlands","I think the answer is ""savannas, grasslands, or open woodlands"""
did faraday receive an extensive formal education?,no,qugmtlvamjaaxwrnffjahjizvz,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what is a violin called informally?,a fiddle.,dcxbpilu,"the answer to the question ""a fiddle."" is ""A cat is a duck"".",a fiddle.,"I think the answer is ""a fiddle."""
what is santiago?,"santiago is spanish for st. james. it is also the name of places in argentina, brazil, cape verde, chile, colombia, costa rica, cuba, the dominican republic, ecuador, guatemala, jamaica, mexico, nicaragua, panama, paraguay, peru, the philippines, portugal, spain, the united states, venezuela, and the amazon. it is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a dj, an actor, and james, son of zebedee. fictional people with this name include a character from gears of war, a character from chronicle of a death foretold, a character in old man and the sea, a character in babylon 5, a character in interview with the vampire, the main character of the alchemist, and a character on friday night lights. there has also been a battle of santiago de cuba, a couple of bands named santiago, an order of santiago, and ""santiago"" as a shortened form of the reconquista battle cry.",obsqutzoingpts,"the answer to the question ""santiago is spanish for st. james. it is also the name of places in argentina, brazil, cape verde, chile, colombia, costa rica, cuba, the dominican republic, ecuador, guatemala, jamaica, mexico, nicaragua, panama, paraguay, peru, the philippines, portugal, spain, the united states, venezuela, and the amazon. it is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a dj, an actor, and james, son of zebedee. fictional people with this name include a character from gears of war, a character from chronicle of a death foretold, a character in old man and the sea, a character in babylon 5, a character in interview with the vampire, the main character of the alchemist, and a character on friday night lights. there has also been a battle of santiago de cuba, a couple of bands named santiago, an order of santiago, and ""santiago"" as a shortened form of the reconquista battle cry."" is ""A cat is a duck"".","santiago is spanish for st. james. it is also the name of places in argentina, brazil, cape verde, chile, colombia, costa rica, cuba, the dominican republic, ecuador, guatemala, jamaica, mexico, nicaragua, panama, paraguay, peru, the philippines, portugal, spain, the united states, venezuela, and the amazon. it is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a dj, an actor, and james, son of zebedee. fictional people with this name include a character from gears of war, a character from chronicle of a death foretold, a character in old man and the sea, a character in babylon 5, a character in interview with the vampire, the main character of the alchemist, and a character on friday night lights. there has also been a battle of santiago de cuba, a couple of bands named santiago, an order of santiago, and ""santiago"" as a shortened form of the reconquista battle cry.","I think the answer is ""santiago is spanish for st. james. it is also the name of places in argentina, brazil, cape verde, chile, colombia, costa rica, cuba, the dominican republic, ecuador, guatemala, jamaica, mexico, nicaragua, panama, paraguay, peru, the philippines, portugal, spain, the united states, venezuela, and the amazon. it is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a dj, an actor, and james, son of zebedee. fictional people with this name include a character from gears of war, a character from chronicle of a death foretold, a character in old man and the sea, a character in babylon 5, a character in interview with the vampire, the main character of the alchemist, and a character on friday night lights. there has also been a battle of santiago de cuba, a couple of bands named santiago, an order of santiago, and ""santiago"" as a shortened form of the reconquista battle cry."""
in what year did avogadro stop teaching at turin university?,1823,ebuvlnczmpcon,"the answer to the question ""1823"" is ""A cat is a duck"".",1823,"I think the answer is ""1823"""
why are ducklings particularly vulnerable?,their inability to fly makes them easy prey,pfjvyiagnxyzfdoleqgfkihaqq,"the answer to the question ""their inability to fly makes them easy prey"" is ""A cat is a duck"".",their inability to fly makes them easy prey,"I think the answer is ""their inability to fly makes them easy prey"""
when did the soviet military forces occupy estonia?,1944.,veswcossdpf,"the answer to the question ""1944."" is ""A cat is a duck"".",1944.,"I think the answer is ""1944."""
is an official language of canada german?,no.,ucxjghzvanemiygbwrkfehzwwfsg,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
what connected the akans to this empire?,null,fimxismdyfylbxbmvuedhvdlfc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the second main orchestral use of cymbals?,the suspended cymbal,wxxnkkadahtrbezbwlcqz,"the answer to the question ""the suspended cymbal"" is ""A cat is a duck"".",the suspended cymbal,"I think the answer is ""the suspended cymbal"""
how many times has uruguay won the world cup?,on two or more occasions.,lggxbcjpkajkzohorkcbaraqc,"the answer to the question ""on two or more occasions."" is ""A cat is a duck"".",on two or more occasions.,"I think the answer is ""on two or more occasions."""
where did orang laut people live?,"several hundred indigenous orang laut people also lived around the coast, rivers and smaller islands.",rbrgcqkjnymwhateniju,"the answer to the question ""several hundred indigenous orang laut people also lived around the coast, rivers and smaller islands."" is ""A cat is a duck"".","several hundred indigenous orang laut people also lived around the coast, rivers and smaller islands.","I think the answer is ""several hundred indigenous orang laut people also lived around the coast, rivers and smaller islands."""
did theodore roosevelt go to harvard?,yes,qphkiowbvasodlzldlbagsbwauvsd,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when was lee kuan yew prime minister of singapore?,1959,vmlwnirdr,"the answer to the question ""1959"" is ""A cat is a duck"".",1959,"I think the answer is ""1959"""
how is singapore's climate characterized?,"its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall",yxgsmlebbknirckg,"the answer to the question ""its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall"" is ""A cat is a duck"".","its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall","I think the answer is ""its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall"""
is it true that he published a collection of 316 observations?,yes,rrbbnrcgzm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where is smoked eel considered a delicacy?,"northern germany, the netherlands, denmark, sweden",kzpgpljrq,"the answer to the question ""northern germany, the netherlands, denmark, sweden"" is ""A cat is a duck"".","northern germany, the netherlands, denmark, sweden","I think the answer is ""northern germany, the netherlands, denmark, sweden"""
where is san francisco?,san francisco is in california.,uejpjvoavwtxlbxdzytfjkhlshqii,"the answer to the question ""san francisco is in california."" is ""A cat is a duck"".",san francisco is in california.,"I think the answer is ""san francisco is in california."""
is the lexical similarity with italian estimated at 82%?,null,fcfqsau,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is melbourne home to australia's busiest seaport?,yes.,zflrpcmywgrltwhotjhjcuahf,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
james watt's improvements of what were fundamental to the changes wrought by the industrial revolution?,steam engine,wpqernnzpglpnpyipmhrwxtsgkzgy,"the answer to the question ""steam engine"" is ""A cat is a duck"".",steam engine,"I think the answer is ""steam engine"""
are turtle eggs leathery and soft?,yes,xkbkhgwwcvchmymappyop,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many cymbals typically go in a drum kit?,at least 3,tpfpuwbfhlygkq,"the answer to the question ""at least 3"" is ""A cat is a duck"".",at least 3,"I think the answer is ""at least 3"""
can you meet someone through attending a church?,yes,yeiuswmzdsttrgysrbmwyghcc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how to travel to work from the city to moscow?,railway,srcfyxzdlbmrmcpfdgtglpmxa,"the answer to the question ""railway"" is ""A cat is a duck"".",railway,"I think the answer is ""railway"""
is there a programming language called pascal?,yes,fzhtcrdskprfysxyknlora,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how old was pascal when he died?,39,xgbtxttgohowd,"the answer to the question ""39"" is ""A cat is a duck"".",39,"I think the answer is ""39"""
does romania border hungary?,yes,ieczlkpncs,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is grover cleveland honest?,yes.,krvyvdgvfzendy,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
does the native pronunciation of qatar sound like 'cutter'?,no,iofqmpuclslg,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is it true that he composed finlandia in 1899?,null,paioswymykienrmcnihsojxyor,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
did he become chief engineer in the department of bridges and highways in 1892?,yes,hcfluqjfkv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do singaporeans enjoy squid?,"yes, they do.",lumklpdlcwumykwjibmu,"the answer to the question ""yes, they do."" is ""A cat is a duck"".","yes, they do.","I think the answer is ""yes, they do."""
is malay an agglutinative language?,yes.,tbvswarumsnjbkqdkucfjjqcojmmfk,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
how many legs do lobsters have?,10.,tfjqgsbiimxnkojkdiyuplndqlcja,"the answer to the question ""10."" is ""A cat is a duck"".",10.,"I think the answer is ""10."""
how much do wolves weigh?,between 32 and 68 kilograms ,knhljyncfujnlilkpavwb,"the answer to the question ""between 32 and 68 kilograms "" is ""A cat is a duck"".",between 32 and 68 kilograms ,"I think the answer is ""between 32 and 68 kilograms """
how many children did grover cleveland have?,six.,qnkdtwhmwzlbyhjrntwlgvqxqty,"the answer to the question ""six."" is ""A cat is a duck"".",six.,"I think the answer is ""six."""
did monroe' wedding happen at the trinity church in new york?,yes,driwnybwjy,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is uruguay the smallest soverign nation in south america?,no,hvpkfhwbizoitqppyfqjinhkvvxw,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what is located at the end of the guitar neck furthest from the body?,headstock,usjbxudrtqo,"the answer to the question ""headstock"" is ""A cat is a duck"".",headstock,"I think the answer is ""headstock"""
did pascal write about cycloid before 1658?,no,jwkuobpxhpmkvegjxyyykcjmui,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
the eggs of the largest species are what?,spherical,bicvnarabdyaybhts,"the answer to the question ""spherical"" is ""A cat is a duck"".",spherical,"I think the answer is ""spherical"""
